codlinha,nomelinha
180,AVERDE/ABRANCHES
271,LARANJEIRAS
673,FORMOSA
331,MERCÚRIO
650,S.RITA/PINHEIRIN
674,N. SRA. DA LUZ
680,RURBANA
184,V. SUIÇA
212,SOLAR
789,MAD. CAIUÁ
913,BUTIATUVINHA
182,ABRANCHES
X24,REFORÇO SAMBAQUI
614,FAZENDINHA/PUC
464,A.MUN/J.BOTÂNICO
720,FAZEN/C.COMPRIDO
260,M.HERMES/STA.EFI
060,INTERBAIRROS VI
393,C.IMB./P.BARIGUI
541,BAIRRO NOVO A
462,PETRÓPOLIS
360,NOVENA
989,MAD. STA. FELICIDADE
732,CAIUA/C.COMPRIDO
719,FAZ./CAIUÁ-FRIGO
811,SATURNO
536,ZOOLÓGICO
965,SÃO BERNARDO
TSB,TUBO S BERNADETE
703,CAIUÁ
516,C.BELEM/S.FILHO
225,B.VISTA/BARREIR
265,AHÚ/LOS ANGELES
778,COTOLENGO
245,REFORÇO ANITA GARIBALDI
829,UNIV.POSITIVO
165,UNIVERSIDADES
231,BANES/CALIFÓRNIA
X25,ESP. UNIANDRADE
371,HIGIENÓPOLIS
616,PORT/ST.BER-LVER
535,OSTERNACK/BOQ.
656,KAMYR
621,FANNY
169,JD. KOSMOS
461,STA. BARBARA
611,FAZENDINH/PORTÃO
385,CRISTO REI
761,V. IZABEL
TXA,TUBO XAXIM
366,ITUPAV/H.MILITAR
474,JD. ITIBERÊ
011,INTERBAIRROS I A
622,RONDON
181,MATEUS LEME
649,PIRINEUS
822,GABINETO
189,MAD. ABRANCHES
226,ABAETÉ
489,MAD. PETRÓPOLIS / SOLITUDE
236,SÃO BENEDITO
689,MAD. S. PEDRO / R. NEGRO
615,UBERLÂNDIA
659,CAXIMBA/OLARIA
471,V. SÃO PAULO
901,STA. FELICIDADE
630,VITÓRIA RÉGIA
465,ERASTO  GAERTNER
831,FAZEND./C.RASO
475,CANAL BELÉM
335,CENT./BOQUEIRÃO 
654,CAMPO ALEGRE
207,CABRAL / OSÓRIO
243,STA. TEREZINHA
311,ARAGUAIA
242,V. LEONICE
915,O.VERDE/V.BÁDIA
030,INTERBAIRROS III
232,ALIANÇA
701,FAZENDINHA
801,CAMP.SIQ./BATEL
548,OSTERN/S.CERCADO
TMA,TUBO MARECHAL
683,FUTURAMA/S.CERC.
Z03,V.CARV./C.IMBUIA
640,PALMEIRA
001,C. CENTRO (H)
021,INTERB II ANTI H
TPH,TERMINAL PINHEIRINHO
776,CARMELA DUTRA
671,PORTÃO
389,MAD. TARUMÃ / AUGUSTA
653,SABARÁ
916,PINHEIROS
911,PASSAÚNA
X14,REFORÇO HAUER
040,INTERBAIRROS IV
167,FREDOLIN WOLF
372,TARUMÃ
540,BOQUEIRÃO/KRAFT
823,AUGUSTA
815,TUIUTI BARIGUI
762,V. ROSINHA
549,MAD. BAIRRO NOVO
594,MENONITAS
365,JD.SOCIAL/BATEL
336,V. RENO
777,V. VELHA
652,V. VERDE
509,MAD. BOQUEIRÃO
TSP,TUBO SAO PEDRO  
ARA,SISTEMA ARAUCARIA
816,C.SIQUEIRA/STA.FELICIDADE
TSQ,TUBO ST QUITERIA
670,SÃO JORGE
619,STA. RITA / CIC
875,BIGORRILHO
821,FERNÃO DIAS
924,STA.FEL/SCÂNDIDA
233,OLARIA
175,BOM RETIRO / PUC
050,INTERBAIRROS V
657,XAXIM/CAPÃO RASO
361,AUGUSTO STRESSER
609,MAD. CIC
533,E.VERÍS/PANTANAL
370,RUA XV / BARIGUI
641,LUIZ NICHELE
685,RIO BONITO/CIC
620,STA. CRUZ
532,JD.PARANAENSE
321,TRINDADE
522,MARINGÁ
322,CAMARGO
967,JÚLIO GRAF
870,SÃO BRAZ
861,TRAMONTINA
341,B.ALTO/STA.CA
470,GUABIROTUBA
244,JD. DO ARROIO
183,JD. CHAPARRAL
917,JD. IPÊ
213,SÃO JOÃO
512,ITAMARATI
166,V. NORI
718,PORTO BELO
646,POMPÉIA / JANAÍNA
216,CABRAL / PORTÃO
531,STA. INÊS
386,CAJURU
721,MARIO JORGE
972,JD. ITÁLIA
624,V. SÃO PEDRO
545,TRABALHADOR
658,C.RASO/CAIUÁ
826,C.COMPRIDO/CIC
188,MAD. PILARZINHO / UBERABA
661,LINDÓIA
272,PAINEIRAS
170,BRACATINGA
308,MAD. CENTENÁRIO / RUI BARBOSA
623,PQ.INDUSTRIAL
222,V. ESPERANÇA
309,MAD. CENTENÁRIO
679,MAD. TATUQUARA
712,JD.INDEPEND./CIC
865,JD. ESPLANADA
912,JOSÉ CULPI
513,HAUER/BOQUEIRÃO
TFA,TUBO FANNY
468,JD. CENTAURO
020,INTERBAIRR II H
889,MAD. SÃO BRÁZ
467,V. MACEDO
668,CASA DE CUSTÓDIA
176,NILO PEÇANHA
828,C.COMP/C.RASO
633,MARIA ANGÉLICA
629,ALTO BOQUEIRÃO
827,RIVIERA
663,V. CUBAS
205,BARREIRINHA
711,ITATIAIA
211,COLINA VERDE
713,STA. AMÉLIA
760,STA. QUITÉRIA
667,TERMINAL CIC
375,SAGRADO CORAÇÃO
547,BAIRRO NOVO C
642,GANCHINHO
OPC,OP. CONTIGENCIA
542,BAIRRO NOVO B
636,RIO NEGRO
628,CARBOMAFRA
561,GUILHERMINA
814,MOSSUNGUÊ
876,SAVÓIA
662,DOM ÁTICO
160,J.MERCES/GUANABA
374,HUGO LANGE
266,ESTRIBO AHÚ
655,JD. ORDEM
334,AGRÍCOLA
338,CENTENÁRIO/HAUER
000,OPER S/LINHA
643,UMBARÁ
666,NOVO MUNDO
150,C.MUSIC/V.ALEGRE
860,V. SANDRA
523,IGUAPE I
809,MAD. CAMPO COMPRIDO
168,RAPOSO TAVARES
779,V.VELHA / BURITI
466,ESTUDANTES
714,V. MARISA
635,LONDRINA
684,RIO BONITO
472,UBERABA
812,MONTANA
918,VENEZA
627,BOSCH
560,ALFERES POLI
323,V. AUTÓDROMO
681,DALAGASSA
280,N. SRA.DE NAZARÉ
380,DETRAN/V.MACHADO
521,NIVALDO BRAGA
519,MAD. S. FRANCISCO / IGUAPE
515,IGUAPE II
274,STA. GEMA
788,MAD. V. VELHA
625,GRAMADOS
214,TINGUI
612,PORTÃO / CIC
270,FERNANDO NORONHA
027,C.RASO/C.SIQUEIR
617,JD. LUDOVICA
639,FUTURAMA
511,SÃO FRANCISCO
387,PALOTINOS
171,PRIMAVERA
342,B.ALTO/BOA VISTA
002,C. CENTRO (AH)
229,MAD.PENHA/F.NORO
534,PARIGOT DE SOUZA
463,SOLITUDE
332,ACRÓPOLE
373,ALTO TARUMÃ
631,PIRATINI/BR476
690,V. JULIANA
665,V. REX
637,STA. JOANA
539,REFORÇO TERMINAL
638,PINHEIRINHO
X19,ESP.HASDRUBAL B.
010,INTERBAIRROS I H
MCC,C. CENTRO
